,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,789.13,790.63,786.0,789.12,789.12,250799,250799,-0.01,-0.00126722,788.72,"July 03, 24",-1.26722e-05
1,2024-07-02,782.67,789.66,782.67,789.13,789.13,367332,367332,6.46,0.82538,786.0325,"July 02, 24",0.0082538
2,2024-07-01,790.83,794.1,777.63,782.27,782.27,543517,543517,-8.56,-1.08,786.2075,"July 01, 24",-0.0108
3,2024-06-28,784.49,792.33,781.2,787.32,787.32,769459,769459,2.83,0.36074,786.335,"June 28, 24",0.0036074
4,2024-06-27,784.65,787.05,780.34,781.13,781.13,428580,428580,-3.52,-0.44861,783.2925,"June 27, 24",-0.0044861
5,2024-06-26,789.28,791.12,784.52,787.45,787.45,529002,529002,-1.83,-0.23186,788.0925,"June 26, 24",-0.0023186
6,2024-06-25,794.46,795.26,788.58,794.39,794.39,394046,394046,-0.07,-0.00881102,793.1725,"June 25, 24",-8.81102e-05
7,2024-06-24,788.58,806.47,788.58,798.95,798.95,528676,528676,10.37,1.32,795.645,"June 24, 24",0.0132
8,2024-06-21,783.72,791.15,779.89,787.6,787.6,872955,872955,3.88,0.49507,785.59,"June 21, 24",0.0049507
9,2024-06-20,782.02,784.05,777.52,782.83,782.83,496885,496885,0.81,0.10358,781.605,"June 20, 24",0.0010358
10,2024-06-18,778.94,784.12,777.02,783.65,783.65,479732,479732,4.71,0.60467,780.9325,"June 18, 24",0.0060467
11,2024-06-17,767.21,783.94,766.05,781.08,781.08,541708,541708,13.87,1.81,774.57,"June 17, 24",0.0181
12,2024-06-14,764.5,769.97,759.99,769.33,769.33,376815,376815,4.83,0.63179,765.9475,"June 14, 24",0.0063179
13,2024-06-13,766.96,772.75,758.2,769.71,769.71,462480,462480,2.75,0.35856,766.905,"June 13, 24",0.0035856
14,2024-06-12,769.35,782.56,766.09,770.11,770.11,833246,833246,0.76,0.09878469,772.0275,"June 12, 24",0.0009878469
15,2024-06-11,762.01,763.37,752.3,757.63,757.63,498980,498980,-4.38,-0.5748,758.8275,"June 11, 24",-0.005748
16,2024-06-10,766.74,768.86,760.25,766.17,766.17,588940,588940,-0.57,-0.07434072,765.505,"June 10, 24",-0.0007434072
17,2024-06-07,767.69,774.01,763.21,768.69,768.69,468160,468160,1.0,0.13026,768.4,"June 07, 24",0.0013026
18,2024-06-06,787.69,787.69,776.53,778.53,773.43,406332,406332,-9.16,-1.16,782.61,"June 06, 24",-0.0116
19,2024-06-05,788.75,789.08,779.44,788.88,783.71,539842,539842,0.13,0.01648177,786.5375,"June 05, 24",0.0001648177
20,2024-06-04,777.37,786.87,774.62,785.29,780.15,666466,666466,7.92,1.02,781.0375,"June 04, 24",0.0102
21,2024-06-03,779.49,779.7,768.72,777.37,772.28,570972,570972,-2.12,-0.27197,776.32,"June 03, 24",-0.0027197
22,2024-05-31,763.06,774.29,762.08,772.03,766.97,1616051,1616051,8.97,1.18,767.865,"May 31, 24",0.0118
23,2024-05-30,754.96,762.41,753.83,761.86,756.87,649985,649985,6.9,0.91396,758.265,"May 30, 24",0.0091396
24,2024-05-29,763.29,765.93,756.33,756.58,751.62,574948,574948,-6.71,-0.87909,760.5325,"May 29, 24",-0.0087909
25,2024-05-28,781.9,783.64,765.48,771.41,766.36,636215,636215,-10.49,-1.34,775.6075,"May 28, 24",-0.0134
26,2024-05-24,787.38,789.39,780.92,781.9,776.78,429047,429047,-5.48,-0.69598,784.8975,"May 24, 24",-0.0069598
27,2024-05-23,798.44,798.44,781.81,784.55,779.41,538309,538309,-13.89,-1.74,790.81,"May 23, 24",-0.0174
