,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,47.15,47.52,47.04,47.09,47.09,8118296,8118296,-0.06,-0.12725,47.2,"July 03, 24",-0.0012725
1,2024-07-02,47.4,47.79,46.96,47.28,47.28,19794236,19794236,-0.12,-0.25316,47.3575,"July 02, 24",-0.0025316
2,2024-07-01,47.48,47.84,47.35,47.52,47.52,17776003,17776003,0.04,0.084246,47.5475,"July 01, 24",0.00084246
3,2024-06-28,47.55,47.86,47.34,47.51,47.51,23921057,23921057,-0.04,-0.08412198,47.565,"June 28, 24",-0.0008412198
4,2024-06-27,46.78,47.51,46.77,47.45,47.45,16541896,16541896,0.67,1.43,47.1275,"June 27, 24",0.0143
5,2024-06-26,47.06,47.41,46.8,46.86,46.86,13981318,13981318,-0.2,-0.42499,47.0325,"June 26, 24",-0.0042499
6,2024-06-25,47.27,47.82,46.99,47.38,47.38,17793635,17793635,0.11,0.23271,47.365,"June 25, 24",0.0023271
7,2024-06-24,47.49,47.78,47.02,47.28,47.28,19136152,19136152,-0.21,-0.4422,47.3925,"June 24, 24",-0.004422
8,2024-06-21,47.1,47.84,47.05,47.29,47.29,65576288,65576288,0.19,0.4034,47.32,"June 21, 24",0.004034
9,2024-06-20,45.91,46.87,45.86,46.72,46.72,25613165,25613165,0.81,1.76,46.34,"June 20, 24",0.0176
10,2024-06-18,45.5,45.99,45.5,45.97,45.97,17627022,17627022,0.47,1.03,45.74,"June 18, 24",0.0103
11,2024-06-17,45.4,45.71,44.95,45.69,45.69,16381952,16381952,0.29,0.63877,45.4375,"June 17, 24",0.0063877
12,2024-06-14,45.32,45.71,44.97,45.68,45.68,15274176,15274176,0.36,0.79435,45.42,"June 14, 24",0.0079435
13,2024-06-13,45.42,45.55,45.12,45.52,45.52,16149013,16149013,0.1,0.22017,45.4025,"June 13, 24",0.0022017
14,2024-06-12,45.99,46.08,45.39,45.62,45.62,16803099,16803099,-0.37,-0.80452,45.77,"June 12, 24",-0.0080452
15,2024-06-11,45.69,45.93,45.36,45.77,45.77,17450742,17450742,0.08,0.17509,45.6875,"June 11, 24",0.0017509
16,2024-06-10,45.8,45.86,45.27,45.85,45.85,13404610,13404610,0.05,0.10917,45.695,"June 10, 24",0.0010917
17,2024-06-07,45.95,46.29,45.79,45.84,45.84,15734605,15734605,-0.114,-0.23939,45.9675,"June 07, 24",-0.0023939
18,2024-06-06,45.94,46.39,45.78,46.23,46.23,15456061,15456061,0.29,0.63126,46.085,"June 06, 24",0.0063126
19,2024-06-05,47.52,47.63,45.64,46.02,46.02,28746399,28746399,-1.5,-3.16,46.7025,"June 05, 24",-0.0316
20,2024-06-04,46.65,47.6,46.51,47.42,47.42,23330316,23330316,0.77,1.65,47.045,"June 04, 24",0.0165
21,2024-06-03,46.72,46.77,46.28,46.65,46.65,23294994,23294994,-0.07,-0.14983,46.605,"June 03, 24",-0.0014983
22,2024-05-31,46.14,46.57,46.01,46.5,46.5,39269068,39269068,0.36,0.78023,46.305,"May 31, 24",0.0078023
23,2024-05-30,46.1,46.46,46.0,46.12,46.12,19898124,19898124,0.02,0.04338395,46.17,"May 30, 24",0.0004338395
24,2024-05-29,45.9,46.33,45.85,46.08,46.08,16001096,16001096,0.18,0.39216,46.04,"May 29, 24",0.0039216
25,2024-05-28,46.15,46.89,45.98,46.28,46.28,18178769,18178769,0.128,0.28169,46.325,"May 28, 24",0.0028169
26,2024-05-24,46.63,46.8,46.38,46.42,46.42,11941076,11941076,-0.21,-0.45035,46.5575,"May 24, 24",-0.0045035
27,2024-05-23,47.15,47.19,46.51,46.6,46.6,18837547,18837547,-0.55,-1.17,46.8625,"May 23, 24",-0.0117
28,2024-05-22,47.1,47.84,47.04,47.43,47.43,19940627,19940627,0.33,0.70064,47.3525,"May 22, 24",0.0070064
29,2024-05-21,47.12,47.15,46.61,46.94,46.94,25172249,25172249,-0.18,-0.382,46.955,"May 21, 24",-0.00382
30,2024-05-20,48.0,48.07,47.01,47.13,47.13,22040663,22040663,-0.87,-1.81,47.5525,"May 20, 24",-0.0181
31,2024-05-17,48.26,48.56,48.11,48.17,48.17,22020305,22020305,-0.09,-0.18649,48.275,"May 17, 24",-0.0018649
32,2024-05-16,50.08,50.11,48.17,48.34,48.34,47829396,47829396,-1.74,-3.47,49.175,"May 16, 24",-0.0347
33,2024-05-15,49.19,49.73,48.73,49.67,49.67,37342052,37342052,0.48,0.97581,49.33,"May 15, 24",0.0097581
34,2024-05-14,48.98,49.18,48.35,48.95,48.95,17379728,17379728,-0.03,-0.06124949,48.865,"May 14, 24",-0.0006124949
35,2024-05-13,48.31,48.82,48.23,48.68,48.68,15149097,15149097,0.37,0.76589,48.51,"May 13, 24",0.0076589
36,2024-05-10,48.0,48.1,47.7,48.06,48.06,12096899,12096899,0.06,0.125,47.965,"May 10, 24",0.00125
37,2024-05-09,48.0,48.09,47.65,47.79,47.79,12449345,12449345,-0.21,-0.4375,47.8825,"May 09, 24",-0.004375
