,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,209.55,210.38,207.65,208.69,208.69,5560925,5560925,-0.86,-0.4104,209.0675,"July 03, 24",-0.004104
1,2024-07-02,205.29,208.86,204.77,208.83,208.83,7802936,7802936,3.54,1.72,206.9375,"July 02, 24",0.0172
2,2024-07-01,202.84,207.09,202.66,205.45,205.45,10205836,10205836,2.61,1.29,204.51,"July 01, 24",0.0129
3,2024-06-28,200.01,202.6,199.3,202.26,202.26,15307616,15307616,2.25,1.12,201.0425,"June 28, 24",0.0112
4,2024-06-27,197.44,199.86,196.9,199.17,199.17,7913453,7913453,1.73,0.87622,198.3425,"June 27, 24",0.0087622
5,2024-06-26,197.45,197.94,196.28,197.43,197.43,7758582,7758582,-0.02,-0.01012915,197.275,"June 26, 24",-0.0001012915
6,2024-06-25,198.09,200.07,197.74,198.07,198.07,6915909,6915909,-0.02,-0.01009642,198.4925,"June 25, 24",-0.0001009642
7,2024-06-24,197.81,199.23,197.1,198.88,198.88,9785929,9785929,1.07,0.54092,198.255,"June 24, 24",0.0054092
8,2024-06-21,196.71,197.17,194.22,196.3,196.3,20972495,20972495,-0.41,-0.20843,196.1,"June 21, 24",-0.0020843
9,2024-06-20,196.39,199.45,196.11,198.67,198.67,8731062,8731062,2.28,1.16,197.655,"June 20, 24",0.0116
10,2024-06-18,194.6,197.96,194.13,197.0,197.0,9022971,9022971,2.4,1.23,195.9225,"June 18, 24",0.0123
11,2024-06-17,193.48,195.58,192.64,194.98,194.98,8726743,8726743,1.5,0.77527,194.17,"June 17, 24",0.0077527
12,2024-06-14,191.45,194.86,191.42,193.78,193.78,6874029,6874029,2.33,1.22,192.8775,"June 14, 24",0.0122
13,2024-06-13,192.32,194.58,190.88,193.66,193.66,8587786,8587786,1.34,0.69676,192.86,"June 13, 24",0.0069676
14,2024-06-12,196.0,196.72,191.31,191.53,191.53,12751329,12751329,-4.47,-2.28,193.89,"June 12, 24",-0.0228
15,2024-06-11,197.91,197.94,193.6,194.36,194.36,9235302,9235302,-3.55,-1.79,195.9525,"June 11, 24",-0.0179
16,2024-06-10,199.24,200.84,198.44,199.61,199.61,6071201,6071201,0.37,0.18571,199.5325,"June 10, 24",0.0018571
17,2024-06-07,197.43,200.92,197.01,199.95,199.95,6964498,6964498,2.52,1.28,198.8275,"June 07, 24",0.0128
18,2024-06-06,197.26,198.02,195.33,196.91,196.91,7640289,7640289,-0.35,-0.17743,196.88,"June 06, 24",-0.0017743
19,2024-06-05,199.76,199.82,196.92,197.26,197.26,8351597,8351597,-2.5,-1.25,198.44,"June 05, 24",-0.0125
20,2024-06-04,200.16,201.98,198.28,199.16,199.16,6848338,6848338,-1.0,-0.4996,199.895,"June 04, 24",-0.004996
21,2024-06-03,202.31,202.42,199.19,201.82,201.82,6444309,6444309,-0.49,-0.2422,201.435,"June 03, 24",-0.002422
22,2024-05-31,199.3,203.3,198.35,202.63,202.63,14417885,14417885,3.33,1.67,200.895,"May 31, 24",0.0167
23,2024-05-30,198.56,199.85,198.4,199.33,199.33,6829719,6829719,0.77,0.38779,199.035,"May 30, 24",0.0038779
24,2024-05-29,198.0,198.99,196.89,198.11,198.11,6120045,6120045,0.11,0.05555556,197.9975,"May 29, 24",0.0005555556
25,2024-05-28,199.86,200.41,198.66,199.5,199.5,6910206,6910206,-0.36,-0.18013,199.6075,"May 28, 24",-0.0018013
26,2024-05-24,197.75,200.76,197.56,200.71,200.71,7356233,7356233,2.96,1.5,199.195,"May 24, 24",0.015
27,2024-05-23,197.81,198.3,196.07,196.92,196.92,8069445,8069445,-0.89,-0.44993,197.275,"May 23, 24",-0.0044993
28,2024-05-22,199.0,200.94,197.69,198.31,198.31,9425338,9425338,-0.69,-0.34673,198.985,"May 22, 24",-0.0034673
29,2024-05-21,197.0,199.9,196.6,199.52,199.52,14420799,14420799,2.52,1.28,198.255,"May 21, 24",0.0128
30,2024-05-20,204.39,205.88,195.4,195.58,195.58,17373253,17373253,-8.81,-4.31,200.3125,"May 20, 24",-0.0431
31,2024-05-17,203.81,205.05,202.81,204.79,204.79,9260490,9260490,0.98,0.48084,204.115,"May 17, 24",0.0048084
32,2024-05-16,202.22,204.48,201.99,202.47,202.47,8497927,8497927,0.25,0.12363,202.79,"May 16, 24",0.0012363
33,2024-05-15,202.01,202.69,199.77,202.11,202.11,8369975,8369975,0.1,0.0495025,201.645,"May 15, 24",0.000495025
34,2024-05-14,199.0,201.58,198.16,201.51,201.51,8596175,8596175,2.51,1.26,200.0625,"May 14, 24",0.0126
35,2024-05-13,198.8,199.85,198.04,198.73,198.73,7049241,7049241,-0.07,-0.03521127,198.855,"May 13, 24",-0.0003521127
36,2024-05-10,198.54,199.34,198.27,198.77,198.77,7529790,7529790,0.23,0.11585,198.73,"May 10, 24",0.0011585
37,2024-05-09,195.17,197.59,195.1,197.5,197.5,7977291,7977291,2.33,1.19,196.34,"May 09, 24",0.0119
38,2024-05-08,191.0,196.65,191.0,195.65,195.65,9227561,9227561,4.65,2.43,193.575,"May 08, 24",0.0243
39,2024-05-07,191.7,192.93,191.65,191.75,191.75,7688771,7688771,0.05,0.02608242,192.0075,"May 07, 24",0.0002608242
40,2024-05-06,191.73,192.2,189.82,192.0,192.0,7911134,7911134,0.27,0.14082,191.4375,"May 06, 24",0.0014082
41,2024-05-03,192.0,192.53,188.46,190.51,190.51,8922775,8922775,-1.49,-0.77604,190.875,"May 03, 24",-0.0077604
42,2024-05-02,193.07,193.5,189.52,191.66,191.66,6501657,6501657,-1.41,-0.73031,191.9375,"May 02, 24",-0.0073031
43,2024-05-01,192.27,194.46,190.79,191.86,191.86,7446703,7446703,-0.41,-0.21324,192.345,"May 01, 24",-0.0021324
44,2024-04-30,192.81,194.99,191.64,191.74,191.74,8153681,8153681,-1.07,-0.55495,192.795,"April 30, 24",-0.0055495
45,2024-04-29,193.48,194.26,192.43,193.28,193.28,5411129,5411129,-0.2,-0.10337,193.3625,"April 29, 24",-0.0010337
46,2024-04-26,193.57,194.87,193.06,193.49,193.49,6413655,6413655,-0.08,-0.04132872,193.7475,"April 26, 24",-0.0004132872
47,2024-04-25,192.25,193.94,191.18,193.37,193.37,9802265,9802265,1.12,0.58257,192.685,"April 25, 24",0.0058257
48,2024-04-24,190.53,193.23,190.17,193.08,193.08,6964905,6964905,2.55,1.34,191.7525,"April 24, 24",0.0134
49,2024-04-23,191.13,192.23,190.52,192.14,192.14,9144372,9144372,1.01,0.52844,191.505,"April 23, 24",0.0052844
50,2024-04-22,185.99,190.13,185.98,189.41,189.41,11529668,11529668,3.42,1.84,187.8775,"April 22, 24",0.0184
51,2024-04-19,182.4,185.88,181.41,185.8,185.8,13402313,13402313,3.4,1.86,183.8725,"April 19, 24",0.0186
52,2024-04-18,181.1,183.36,179.97,181.25,181.25,9557720,9557720,0.15,0.08282717,181.42,"April 18, 24",0.0008282717
53,2024-04-17,181.37,182.42,179.2,180.08,180.08,9017093,9017093,-1.29,-0.71125,180.7675,"April 17, 24",-0.0071125
54,2024-04-16,182.9,183.16,179.65,180.8,180.8,16451801,16451801,-2.1,-1.15,181.6275,"April 16, 24",-0.0115
55,2024-04-15,184.5,187.46,182.2,182.89,182.89,14766592,14766592,-1.61,-0.87263,184.2625,"April 15, 24",-0.0087263
56,2024-04-12,188.32,188.93,182.54,182.79,182.79,31532308,31532308,-5.53,-2.94,185.645,"April 12, 24",-0.0294
57,2024-04-11,196.0,196.57,193.24,195.43,195.43,10137699,10137699,-0.57,-0.29082,195.31,"April 11, 24",-0.0029082
58,2024-04-10,195.55,197.07,194.18,195.47,195.47,7681377,7681377,-0.08,-0.04091025,195.5675,"April 10, 24",-0.0004091025
59,2024-04-09,198.07,198.88,194.91,197.15,197.15,7358631,7358631,-0.92,-0.46448,197.2525,"April 09, 24",-0.0046448
60,2024-04-08,197.62,198.98,197.62,198.48,198.48,8000963,8000963,0.86,0.43518,198.175,"April 08, 24",0.0043518
61,2024-04-05,196.16,198.12,195.11,197.45,197.45,6532278,6532278,1.29,0.65763,196.71,"April 05, 24",0.0065763
62,2024-04-04,199.15,199.68,195.55,195.65,195.65,9243793,9243793,-3.5,-1.76,197.5075,"April 04, 24",-0.0176
63,2024-04-03,199.04,199.56,197.7,198.3,197.15,9353426,9353426,-0.74,-0.37178,198.65,"April 03, 24",-0.0037178
64,2024-04-02,198.39,199.78,198.08,198.86,197.71,7014683,7014683,0.47,0.23691,198.7775,"April 02, 24",0.0023691
65,2024-04-01,199.99,200.94,198.57,198.94,197.79,7309009,7309009,-1.05,-0.52503,199.61,"April 01, 24",-0.0052503
66,2024-03-28,199.49,200.72,198.54,200.3,199.14,8628313,8628313,0.81,0.40604,199.7625,"March 28, 24",0.0040604
67,2024-03-27,196.5,199.6,196.38,199.52,198.36,8725757,8725757,3.02,1.54,198.0,"March 27, 24",0.0154
68,2024-03-26,194.59,196.66,194.06,195.73,194.59,5961484,5961484,1.14,0.58585,195.26,"March 26, 24",0.0058585
69,2024-03-25,196.6,196.94,194.36,194.82,193.69,8620015,8620015,-1.78,-0.90539,195.68,"March 25, 24",-0.0090539
70,2024-03-22,199.01,200.48,196.54,196.62,195.48,8108840,8108840,-2.39,-1.2,198.1625,"March 22, 24",-0.012
71,2024-03-21,196.52,199.43,196.33,199.06,197.91,11203796,11203796,2.54,1.29,197.835,"March 21, 24",0.0129
72,2024-03-20,194.19,196.56,193.61,196.33,195.19,9367043,9367043,2.14,1.1,195.1725,"March 20, 24",0.011
73,2024-03-19,192.71,193.93,192.38,193.79,192.67,8478717,8478717,1.08,0.56043,193.2025,"March 19, 24",0.0056043
74,2024-03-18,190.63,192.7,189.89,192.66,191.54,9013843,9013843,2.03,1.06,191.47,"March 18, 24",0.0106
75,2024-03-15,186.48,190.94,186.48,190.3,189.2,17214229,17214229,3.82,2.05,188.55,"March 15, 24",0.0205
76,2024-03-14,191.03,191.63,187.1,187.97,186.88,10310948,10310948,-3.06,-1.6,189.4325,"March 14, 24",-0.016
77,2024-03-13,190.36,191.73,189.84,191.38,190.27,7795535,7795535,1.02,0.53583,190.8275,"March 13, 24",0.0053583
78,2024-03-12,188.95,190.16,187.91,189.84,188.74,5708384,5708384,0.89,0.47102,189.215,"March 12, 24",0.0047102
79,2024-03-11,187.28,188.44,186.22,188.29,187.2,5762569,5762569,1.01,0.5393,187.5575,"March 11, 24",0.005393
80,2024-03-08,188.44,190.46,187.92,188.22,187.13,6172199,6172199,-0.22,-0.11675,188.76,"March 08, 24",-0.0011675
81,2024-03-07,189.91,190.5,186.63,187.87,186.78,7618277,7618277,-2.04,-1.07,188.7275,"March 07, 24",-0.0107
82,2024-03-06,189.25,190.07,187.63,189.53,188.43,7572891,7572891,0.28,0.14795,189.12,"March 06, 24",0.0014795
83,2024-03-05,186.36,189.3,186.36,188.55,187.46,6617832,6617832,2.19,1.18,187.6425,"March 05, 24",0.0118
84,2024-03-04,184.71,187.59,184.27,186.68,185.6,7063605,7063605,1.97,1.07,185.8125,"March 04, 24",0.0107
85,2024-03-01,185.7,186.44,185.1,185.29,184.22,6311996,6311996,-0.41,-0.22079,185.6325,"March 01, 24",-0.0022079
86,2024-02-29,185.66,186.43,183.85,186.06,184.98,9643012,9643012,0.4,0.21545,185.5,"February 29, 24",0.0021545
87,2024-02-28,183.43,185.2,182.96,184.38,183.31,6131608,6131608,0.95,0.51791,183.9925,"February 28, 24",0.0051791
88,2024-02-27,183.31,183.54,182.24,183.45,182.39,5717065,5717065,0.14,0.07637336,183.135,"February 27, 24",0.0007637336
89,2024-02-26,183.75,184.46,182.48,183.36,182.3,7145391,7145391,-0.39,-0.21224,183.5125,"February 26, 24",-0.0021224
90,2024-02-23,183.81,185.2,183.19,183.99,182.92,7105833,7105833,0.18,0.09792721,184.0475,"February 23, 24",0.0009792721
91,2024-02-22,181.82,183.42,181.24,183.07,182.01,9296459,9296459,1.25,0.68749,182.3875,"February 22, 24",0.0068749
92,2024-02-21,179.95,180.99,178.52,180.9,179.85,7027857,7027857,0.95,0.52792,180.09,"February 21, 24",0.0052792
93,2024-02-20,179.19,180.46,178.41,179.73,178.69,9667959,9667959,0.54,0.30136,179.4475,"February 20, 24",0.0030136
94,2024-02-16,179.61,179.98,178.16,179.03,177.99,8152647,8152647,-0.58,-0.32292,179.195,"February 16, 24",-0.0032292
95,2024-02-15,176.15,180.21,176.15,179.87,178.83,8723390,8723390,3.72,2.11,178.095,"February 15, 24",0.0211
96,2024-02-14,175.07,176.1,174.42,176.03,175.01,7056664,7056664,0.96,0.54835,175.405,"February 14, 24",0.0054835
97,2024-02-13,175.32,176.23,172.62,174.26,173.25,8397631,8397631,-1.06,-0.60461,174.6075,"February 13, 24",-0.0060461
98,2024-02-12,174.78,176.81,173.7,175.79,174.77,8539316,8539316,1.01,0.57787,175.27,"February 12, 24",0.0057787
99,2024-02-09,175.0,175.1,173.67,175.01,174.0,6296729,6296729,0.01,0.00571429,174.695,"February 09, 24",5.71429e-05
100,2024-02-08,175.0,175.31,173.57,174.8,173.79,6060285,6060285,-0.2,-0.11429,174.67,"February 08, 24",-0.0011429
101,2024-02-07,175.69,175.87,173.96,175.43,174.41,7225478,7225478,-0.26,-0.14799,175.2375,"February 07, 24",-0.0014799
102,2024-02-06,174.61,175.87,173.76,175.1,174.08,6765684,6765684,0.49,0.28063,174.835,"February 06, 24",0.0028063
103,2024-02-05,173.86,175.09,172.92,174.5,173.49,7820160,7820160,0.64,0.36811,174.0925,"February 05, 24",0.0036811
104,2024-02-02,173.3,175.82,173.26,174.73,173.72,8607839,8607839,1.43,0.82516,174.2775,"February 02, 24",0.0082516
105,2024-02-01,173.64,174.84,171.43,173.73,172.72,9354798,9354798,0.09,0.05183138,173.41,"February 01, 24",0.0005183138
106,2024-01-31,176.2,178.3,174.34,174.36,173.35,11521820,11521820,-1.84,-1.04,175.8,"January 31, 24",-0.0104
107,2024-01-30,172.83,176.76,172.83,176.27,175.25,10822075,10822075,3.44,1.99,174.6725,"January 30, 24",0.0199
108,2024-01-29,172.24,172.84,171.3,172.73,171.73,6971192,6971192,0.49,0.28449,172.2775,"January 29, 24",0.0028449
109,2024-01-26,172.61,173.06,171.78,172.28,171.28,7442955,7442955,-0.33,-0.19118,172.4325,"January 26, 24",-0.0019118
110,2024-01-25,172.31,172.99,170.91,172.94,171.94,8873481,8873481,0.63,0.36562,172.2875,"January 25, 24",0.0036562
111,2024-01-24,169.36,171.01,168.86,170.5,169.51,9967060,9967060,1.14,0.67312,169.9325,"January 24, 24",0.0067312
112,2024-01-23,169.67,169.75,168.44,168.99,168.01,8360829,8360829,-0.68,-0.40078,169.2125,"January 23, 24",-0.0040078
113,2024-01-22,170.46,171.98,169.71,170.11,169.12,12837505,12837505,-0.35,-0.20533,170.565,"January 22, 24",-0.0020533
114,2024-01-19,167.55,170.57,167.08,170.31,169.32,13115664,13115664,2.76,1.65,168.8775,"January 19, 24",0.0165
115,2024-01-18,167.12,167.53,165.24,167.42,166.45,9382255,9382255,0.3,0.17951,166.8275,"January 18, 24",0.0017951
116,2024-01-17,167.34,169.07,166.49,167.09,166.12,11107466,11107466,-0.25,-0.1494,167.4975,"January 17, 24",-0.001494
117,2024-01-16,164.87,168.09,164.3,167.99,167.02,17206420,17206420,3.12,1.89,166.3125,"January 16, 24",0.0189
118,2024-01-12,173.8,176.31,168.9,169.05,168.07,19436504,19436504,-4.75,-2.73,172.015,"January 12, 24",-0.0273
119,2024-01-11,170.33,170.36,168.64,170.3,169.31,11919498,11919498,-0.03,-0.01761287,169.9075,"January 11, 24",-0.0001761287
120,2024-01-10,170.0,171.08,168.95,171.02,170.03,9670218,9670218,1.02,0.6,170.2625,"January 10, 24",0.006
121,2024-01-09,171.62,171.79,170.1,170.66,169.67,9923630,9923630,-0.96,-0.55938,171.0425,"January 09, 24",-0.0055938
122,2024-01-08,172.02,172.36,169.49,172.02,171.02,11229916,11229916,0.0,0.0,171.4725,"January 08, 24",0.0
123,2024-01-05,171.47,173.38,171.47,172.27,171.27,10066029,10066029,0.8,0.46655,172.1475,"January 05, 24",0.0046655
124,2024-01-04,170.64,173.35,170.54,171.41,170.42,11972545,11972545,0.77,0.45124,171.485,"January 04, 24",0.0045124
125,2024-01-03,171.86,172.04,170.37,171.33,169.29,9852335,9852335,-0.53,-0.30839,171.4,"January 03, 24",-0.0030839
126,2024-01-02,169.09,172.17,168.91,172.08,170.03,9977424,9977424,2.99,1.77,170.5625,"January 02, 24",0.0177
127,2023-12-29,170.0,170.69,169.63,170.1,168.08,6435102,6435102,0.1,0.05882353,170.105,"December 29, 23",0.0005882353
128,2023-12-28,169.35,170.66,169.0,170.3,168.27,6320129,6320129,0.95,0.56097,169.8275,"December 28, 23",0.0056097
129,2023-12-27,167.84,169.47,167.58,169.4,167.39,6428643,6428643,1.56,0.92946,168.5725,"December 27, 23",0.0092946
130,2023-12-26,167.46,168.77,167.18,168.39,166.39,4683605,4683605,0.93,0.55536,167.95,"December 26, 23",0.0055536
131,2023-12-22,167.5,168.23,167.23,167.4,165.41,6576322,6576322,-0.1,-0.05970149,167.59,"December 22, 23",-0.0005970149
132,2023-12-21,166.84,168.09,165.68,167.5,165.51,7601678,7601678,0.66,0.39559,167.0275,"December 21, 23",0.0039559
133,2023-12-20,167.99,169.41,166.45,166.55,164.57,10734709,10734709,-1.44,-0.85719,167.6,"December 20, 23",-0.0085719
134,2023-12-19,166.0,168.47,165.55,168.45,166.45,10345691,10345691,2.45,1.48,167.1175,"December 19, 23",0.0148
135,2023-12-18,165.92,167.13,165.63,166.23,164.25,8469608,8469608,0.31,0.18684,166.2275,"December 18, 23",0.0018684
136,2023-12-15,163.08,165.28,162.39,165.23,163.27,20309348,20309348,2.15,1.32,163.995,"December 15, 23",0.0132
137,2023-12-14,161.83,164.84,161.71,163.99,162.04,13642990,13642990,2.16,1.33,163.0925,"December 14, 23",0.0133
138,2023-12-13,160.52,162.03,159.77,161.06,159.14,12379098,12379098,0.54,0.33641,160.845,"December 13, 23",0.0033641
139,2023-12-12,159.23,160.65,158.88,160.52,158.61,10222978,10222978,1.29,0.81015,159.82,"December 12, 23",0.0081015
140,2023-12-11,158.52,159.3,158.15,159.1,157.21,8093908,8093908,0.58,0.36588,158.7675,"December 11, 23",0.0036588
141,2023-12-08,157.26,158.78,156.98,158.52,156.63,7369370,7369370,1.26,0.80122,157.885,"December 08, 23",0.0080122
142,2023-12-07,156.69,157.31,156.15,156.79,154.93,8130874,8130874,0.1,0.06382028,156.735,"December 07, 23",0.0006382028
143,2023-12-06,158.84,159.22,156.0,156.31,154.45,9366004,9366004,-2.53,-1.59,157.5925,"December 06, 23",-0.0159
144,2023-12-05,157.26,158.5,156.97,157.97,156.09,9135597,9135597,0.71,0.45148,157.675,"December 05, 23",0.0045148
145,2023-12-04,156.02,158.05,155.88,157.99,156.11,9607465,9607465,1.97,1.26,156.985,"December 04, 23",0.0126
146,2023-12-01,155.82,157.86,155.82,156.84,154.97,8916001,8916001,1.02,0.6546,156.585,"December 01, 23",0.006546
147,2023-11-30,154.91,156.13,154.38,156.08,154.22,9869790,9869790,1.17,0.75528,155.375,"November 30, 23",0.0075528
148,2023-11-29,154.17,155.63,154.0,154.32,152.48,9126053,9126053,0.15,0.09729519,154.53,"November 29, 23",0.0009729519
149,2023-11-28,153.22,153.87,152.72,153.54,151.71,6582937,6582937,0.32,0.20885,153.3375,"November 28, 23",0.0020885
150,2023-11-27,153.43,153.53,152.71,153.19,151.37,6259116,6259116,-0.24,-0.15642,153.215,"November 27, 23",-0.0015642
151,2023-11-24,153.59,154.44,153.28,153.54,151.71,3496941,3496941,-0.05,-0.0325542,153.7125,"November 24, 23",-0.000325542
152,2023-11-22,153.41,153.88,152.9,153.33,151.51,5175135,5175135,-0.08,-0.05214784,153.38,"November 22, 23",-0.0005214784
153,2023-11-21,153.2,153.63,152.57,152.97,151.15,7083506,7083506,-0.23,-0.15013,153.0925,"November 21, 23",-0.0015013
154,2023-11-20,152.08,153.75,151.92,153.29,151.47,7020349,7020349,1.21,0.79563,152.76,"November 20, 23",0.0079563
155,2023-11-17,152.2,152.86,151.54,152.82,151.0,7814064,7814064,0.62,0.40736,152.355,"November 17, 23",0.0040736
156,2023-11-16,150.09,151.53,150.09,151.45,149.65,8126188,8126188,1.36,0.90612,150.79,"November 16, 23",0.0090612
157,2023-11-15,148.46,150.16,148.46,149.74,147.96,8365296,8365296,1.28,0.86219,149.205,"November 15, 23",0.0086219
158,2023-11-14,146.68,149.25,146.52,148.44,146.67,9927723,9927723,1.76,1.2,147.7225,"November 14, 23",0.012
159,2023-11-13,145.7,146.25,145.16,145.78,144.05,6676364,6676364,0.08,0.05490734,145.7225,"November 13, 23",0.0005490734
160,2023-11-10,144.94,146.48,144.08,146.43,144.69,7983935,7983935,1.49,1.03,145.4825,"November 10, 23",0.0103
