,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,458.19,461.02,457.88,460.77,460.77,9906070,9906070,2.58,0.56309,459.465,"July 03, 24",0.0056309
1,2024-07-02,453.2,459.59,453.11,459.28,459.28,13979779,13979779,6.08,1.34,456.295,"July 02, 24",0.0134
2,2024-07-01,448.66,457.37,445.66,456.73,456.73,17662818,17662818,8.07,1.8,452.105,"July 01, 24",0.018
3,2024-06-28,453.07,455.38,446.41,446.95,446.95,28362271,28362271,-6.12,-1.35,450.4525,"June 28, 24",-0.0135
4,2024-06-27,452.18,456.17,451.77,452.85,452.85,14806324,14806324,0.675,0.14817,453.2425,"June 27, 24",0.0014817
5,2024-06-26,449.0,453.6,448.19,452.16,452.16,16507030,16507030,3.16,0.70379,450.7375,"June 26, 24",0.0070379
6,2024-06-25,448.25,451.42,446.75,450.95,450.95,16747529,16747529,2.7,0.60234,449.3425,"June 25, 24",0.0060234
7,2024-06-24,449.8,452.75,446.41,447.67,447.67,15913719,15913719,-2.13,-0.47354,449.1575,"June 24, 24",-0.0047354
8,2024-06-21,447.38,450.58,446.51,449.78,449.78,34486172,34486172,2.4,0.53646,448.5625,"June 21, 24",0.0053646
9,2024-06-20,446.3,446.53,441.27,445.7,445.7,19877378,19877378,-0.6,-0.13444,444.95,"June 20, 24",-0.0013444
10,2024-06-18,449.71,450.14,444.89,446.34,446.34,17112504,17112504,-3.37,-0.74937,447.77,"June 18, 24",-0.0074937
11,2024-06-17,442.59,450.94,440.72,448.37,448.37,20790030,20790030,5.79,1.31,445.655,"June 17, 24",0.0131
12,2024-06-14,438.28,443.14,436.72,442.57,442.57,13581985,13581985,4.3,0.97883,440.1775,"June 14, 24",0.0097883
13,2024-06-13,440.85,443.39,439.37,441.58,441.58,15960565,15960565,0.73,0.16559,441.2975,"June 13, 24",0.0016559
14,2024-06-12,435.32,443.4,433.25,441.06,441.06,22366233,22366233,5.74,1.32,438.2575,"June 12, 24",0.0132
15,2024-06-11,425.48,432.82,425.25,432.68,432.68,14551101,14551101,7.2,1.69,429.0575,"June 11, 24",0.0169
16,2024-06-10,424.7,428.08,423.89,427.87,427.87,14003034,14003034,3.17,0.74641,426.135,"June 10, 24",0.0074641
17,2024-06-07,426.2,426.28,423.0,423.85,423.85,13621650,13621650,-2.35,-0.55138,424.8325,"June 07, 24",-0.0055138
18,2024-06-06,424.01,425.31,420.58,424.52,424.52,14861251,14861251,0.51,0.12028,423.605,"June 06, 24",0.0012028
19,2024-06-05,417.81,424.08,416.3,424.01,424.01,16988038,16988038,6.2,1.48,420.55,"June 05, 24",0.0148
20,2024-06-04,412.43,416.44,409.68,416.07,416.07,14348917,14348917,3.64,0.88257,413.655,"June 04, 24",0.0088257
21,2024-06-03,415.53,416.43,408.92,413.52,413.52,17484675,17484675,-2.0,-0.48372,413.6,"June 03, 24",-0.0048372
22,2024-05-31,416.75,416.75,404.51,415.13,415.13,47995250,47995250,-1.62,-0.38872,413.285,"May 31, 24",-0.0038872
23,2024-05-30,424.3,424.3,414.24,414.67,414.67,28424847,28424847,-9.63,-2.27,419.3775,"May 30, 24",-0.0227
24,2024-05-29,425.69,430.94,425.69,429.17,429.17,15517130,15517130,3.48,0.8175,427.8725,"May 29, 24",0.008175
25,2024-05-28,429.63,430.82,426.6,430.32,430.32,15718024,15718024,0.69,0.1606,429.3425,"May 28, 24",0.001606
