,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,143.75,144.65,143.5,144.38,144.38,3560778,3560778,0.63,0.43826,144.07,"July 03, 24",0.0043826
1,2024-07-02,142.63,144.22,142.55,143.28,143.28,5920529,5920529,0.65,0.45572,143.17,"July 02, 24",0.0045572
2,2024-07-01,141.69,144.06,141.07,143.09,143.09,6552353,6552353,1.4,0.98807,142.4775,"July 01, 24",0.0098807
3,2024-06-28,139.44,142.82,139.27,141.2,141.2,25814821,25814821,1.76,1.26,140.6825,"June 28, 24",0.0126
4,2024-06-27,139.25,141.42,138.81,140.18,140.18,7518199,7518199,0.93,0.66786,139.915,"June 27, 24",0.0066786
5,2024-06-26,139.49,140.75,138.08,138.23,138.23,8036309,8036309,-1.26,-0.90329,139.1375,"June 26, 24",-0.0090329
6,2024-06-25,139.0,139.55,137.56,139.17,139.17,8469641,8469641,0.17,0.1223,138.82,"June 25, 24",0.001223
7,2024-06-24,140.0,141.53,139.12,139.89,139.89,7793293,7793293,-0.11,-0.07857143,140.135,"June 24, 24",-0.0007857143
8,2024-06-21,143.72,143.72,140.44,141.5,141.5,14930875,14930875,-2.22,-1.54,142.345,"June 21, 24",-0.0154
9,2024-06-20,145.32,145.32,141.95,142.91,142.91,8940005,8940005,-2.41,-1.66,143.875,"June 20, 24",-0.0166
10,2024-06-18,141.22,145.06,141.22,144.64,144.64,11629395,11629395,3.42,2.42,143.035,"June 18, 24",0.0242
11,2024-06-17,138.8,141.44,138.25,141.31,141.31,11239152,11239152,2.51,1.81,139.95,"June 17, 24",0.0181
12,2024-06-14,139.26,139.97,137.38,138.13,138.13,11330789,11330789,-1.13,-0.81143,138.685,"June 14, 24",-0.0081143
13,2024-06-13,140.43,142.4,138.77,139.85,139.85,13733247,13733247,-0.58,-0.41302,140.3625,"June 13, 24",-0.0041302
14,2024-06-12,134.69,140.96,133.96,140.38,140.38,40871317,40871317,5.69,4.22,137.4975,"June 12, 24",0.0422
15,2024-06-11,124.05,124.83,122.29,123.88,123.88,18373935,18373935,-0.17,-0.13704,123.7625,"June 11, 24",-0.0013704
