,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,202.68,204.86,200.44,203.81,203.81,4996211,4996211,1.13,0.55753,202.9475,"July 03, 24",0.0055753
1,2024-07-02,198.25,200.48,197.09,200.16,200.16,5632945,5632945,1.91,0.96343,198.995,"July 02, 24",0.0096343
2,2024-07-01,199.47,200.67,196.08,200.03,200.03,6800566,6800566,0.56,0.28074,199.0625,"July 01, 24",0.0028074
3,2024-06-28,196.0,203.94,195.61,199.18,199.18,15547484,15547484,3.18,1.62,198.6825,"June 28, 24",0.0162
4,2024-06-27,196.87,198.57,193.84,195.15,195.15,11936570,11936570,-1.72,-0.87367,196.1075,"June 27, 24",-0.0087367
5,2024-06-26,200.31,201.15,195.7,197.33,197.33,10023790,10023790,-2.98,-1.49,198.6225,"June 26, 24",-0.0149
6,2024-06-25,203.14,203.15,199.17,202.17,202.17,12053664,12053664,-0.97,-0.4775,201.9075,"June 25, 24",-0.004775
7,2024-06-24,206.91,207.03,200.24,200.84,200.84,16087747,16087747,-6.07,-2.93,203.755,"June 24, 24",-0.0293
8,2024-06-21,211.76,215.47,209.41,212.53,212.53,22741323,22741323,0.77,0.36362,212.2925,"June 21, 24",0.0036362
9,2024-06-20,224.2,225.9,212.84,215.47,215.47,18701196,18701196,-8.73,-3.89,219.6025,"June 20, 24",-0.0389
10,2024-06-18,226.82,230.63,226.0,227.09,227.09,22037468,22037468,0.27,0.11904,227.635,"June 18, 24",0.0011904
11,2024-06-17,217.09,222.67,213.4,222.22,222.22,12109084,12109084,5.13,2.36,218.845,"June 17, 24",0.0236
12,2024-06-14,217.64,218.05,213.65,215.33,215.33,6438225,6438225,-2.31,-1.06,216.1675,"June 14, 24",-0.0106
13,2024-06-13,216.36,218.36,213.01,217.81,217.81,10102782,10102782,1.45,0.67018,216.385,"June 13, 24",0.0067018
14,2024-06-12,212.5,215.62,210.88,215.39,215.39,9502803,9502803,2.89,1.36,213.5975,"June 12, 24",0.0136
15,2024-06-11,207.15,209.45,204.78,208.52,208.52,8197458,8197458,1.37,0.66136,207.475,"June 11, 24",0.0066136
16,2024-06-10,205.29,210.58,204.56,209.35,209.35,6470472,6470472,4.06,1.98,207.445,"June 10, 24",0.0198
17,2024-06-07,209.73,209.8,204.89,206.62,206.62,5714393,5714393,-3.11,-1.48,207.76,"June 07, 24",-0.0148
18,2024-06-06,211.9,212.24,208.79,209.44,209.44,7597184,7597184,-2.46,-1.16,210.5925,"June 06, 24",-0.0116
19,2024-06-05,206.93,212.5,205.37,211.9,211.9,11626287,11626287,4.97,2.4,209.175,"June 05, 24",0.024
20,2024-06-04,205.91,206.23,201.66,204.37,204.37,6629105,6629105,-1.54,-0.7479,204.5425,"June 04, 24",-0.007479
21,2024-06-03,209.56,210.98,202.41,205.91,205.91,12419478,12419478,-3.65,-1.74,207.215,"June 03, 24",-0.0174
22,2024-05-31,208.0,209.05,198.71,204.05,204.05,15064863,15064863,-3.95,-1.9,204.9525,"May 31, 24",-0.019
23,2024-05-30,208.0,209.37,203.82,204.8,204.8,12263870,12263870,-3.2,-1.54,206.4975,"May 30, 24",-0.0154
24,2024-05-29,208.65,210.66,206.7,208.26,207.41,12552515,12552515,-0.39,-0.18692,208.5675,"May 29, 24",-0.0018692
25,2024-05-28,217.23,217.43,211.3,213.08,212.21,12485382,12485382,-4.14,-1.91,214.76,"May 28, 24",-0.0191
26,2024-05-24,203.89,211.3,203.56,210.36,209.5,13809903,13809903,6.47,3.17,207.2775,"May 24, 24",0.0317
27,2024-05-23,205.88,207.95,199.42,201.76,200.94,14475086,14475086,-4.12,-2.0,203.7525,"May 23, 24",-0.02
28,2024-05-22,202.93,204.84,201.7,202.93,202.1,11170066,11170066,0.0,0.0,203.1,"May 22, 24",0.0
29,2024-05-21,196.01,201.98,195.76,200.85,200.03,11498777,11498777,4.84,2.47,198.65,"May 21, 24",0.0247
30,2024-05-20,194.0,199.99,193.28,197.76,196.95,8879734,8879734,3.76,1.94,196.2575,"May 20, 24",0.0194
31,2024-05-17,192.9,195.44,191.87,193.86,193.07,5799714,5799714,0.96,0.49767,193.5175,"May 17, 24",0.0049767
32,2024-05-16,195.0,195.63,192.78,193.27,192.48,8173415,8173415,-1.73,-0.88718,194.17,"May 16, 24",-0.0088718
33,2024-05-15,190.01,196.08,190.0,194.61,193.82,11349079,11349079,4.6,2.42,192.675,"May 15, 24",0.0242
34,2024-05-14,184.51,189.29,184.49,188.97,188.2,7713362,7713362,4.46,2.42,186.815,"May 14, 24",0.0242
35,2024-05-13,183.18,184.73,182.9,184.21,183.46,6384837,6384837,1.03,0.56229,183.755,"May 13, 24",0.0056229
36,2024-05-10,182.0,183.55,181.24,182.08,181.34,4702542,4702542,0.08,0.04395604,182.2175,"May 10, 24",0.0004395604
37,2024-05-09,181.0,181.71,179.44,180.54,179.8,5513454,5513454,-0.46,-0.25414,180.6725,"May 09, 24",-0.0025414
38,2024-05-08,176.73,180.79,176.62,180.55,179.81,6242590,6242590,3.82,2.16,178.6725,"May 08, 24",0.0216
39,2024-05-07,182.45,184.31,179.22,180.15,179.41,8011055,8011055,-2.3,-1.26,181.5325,"May 07, 24",-0.0126
40,2024-05-06,181.91,182.4,180.4,181.85,181.11,6980071,6980071,-0.06,-0.03298334,181.64,"May 06, 24",-0.0003298334
41,2024-05-03,182.24,183.19,177.8,179.64,178.91,10043912,10043912,-2.6,-1.43,180.7175,"May 03, 24",-0.0143
42,2024-05-02,175.47,181.69,175.29,180.1,179.36,25894845,25894845,4.63,2.64,178.1375,"May 02, 24",0.0264
43,2024-05-01,164.51,169.64,163.79,164.11,163.44,13113578,13113578,-0.4,-0.24315,165.5125,"May 01, 24",-0.0024315
44,2024-04-30,169.23,169.24,165.81,165.85,165.17,6914197,6914197,-3.38,-2.0,167.5325,"April 30, 24",-0.02
45,2024-04-29,165.2,169.27,165.2,169.2,168.51,6623860,6623860,4.0,2.42,167.2175,"April 29, 24",0.0242
46,2024-04-26,162.9,166.52,162.51,165.66,164.98,7141339,7141339,2.76,1.69,164.3975,"April 26, 24",0.0169
