,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-07-03,234.56,248.35,234.25,246.39,246.39,166561471,166561471,11.83,5.04,240.8875,"July 03, 24",0.0504
1,2024-07-02,218.89,231.3,218.06,231.26,231.26,205047920,205047920,12.37,5.65,224.8775,"July 02, 24",0.0565
2,2024-07-01,201.02,213.23,200.85,209.86,209.86,135691395,135691395,8.84,4.4,206.24,"July 01, 24",0.044
3,2024-06-28,199.55,203.2,195.26,197.88,197.88,95438068,95438068,-1.67,-0.83688,198.9725,"June 28, 24",-0.0083688
4,2024-06-27,195.17,198.72,194.05,197.42,197.42,72746521,72746521,2.25,1.15,196.34,"June 27, 24",0.0115
5,2024-06-26,186.54,197.76,186.36,196.37,196.37,95737066,95737066,9.83,5.27,191.7575,"June 26, 24",0.0527
6,2024-06-25,184.4,187.97,182.01,187.35,187.35,63678265,63678265,2.95,1.6,185.4325,"June 25, 24",0.016
7,2024-06-24,184.97,188.8,182.55,182.58,182.58,61992070,61992070,-2.39,-1.29,184.725,"June 24, 24",-0.0129
8,2024-06-21,182.3,183.95,180.69,183.01,183.01,63029482,63029482,0.71,0.38947,182.4875,"June 21, 24",0.0038947
9,2024-06-20,184.68,185.21,179.66,181.57,181.57,55893139,55893139,-3.11,-1.68,182.78,"June 20, 24",-0.0168
10,2024-06-18,186.56,187.2,182.37,184.86,184.86,68982265,68982265,-1.7,-0.91123,185.2475,"June 18, 24",-0.0091123
11,2024-06-17,177.92,188.81,177.0,187.44,187.44,109786083,109786083,9.52,5.35,182.7925,"June 17, 24",0.0535
12,2024-06-14,185.8,186.0,176.92,178.01,178.01,82038194,82038194,-7.79,-4.19,181.6825,"June 14, 24",-0.0419
13,2024-06-13,188.39,191.08,181.23,182.47,182.47,118984122,118984122,-5.92,-3.14,185.7925,"June 13, 24",-0.0314
14,2024-06-12,171.12,180.55,169.8,177.29,177.29,90389446,90389446,6.17,3.61,174.69,"June 12, 24",0.0361
15,2024-06-11,173.92,174.75,167.41,170.66,170.66,64761928,64761928,-3.26,-1.87,171.685,"June 11, 24",-0.0187
16,2024-06-10,176.06,178.57,173.17,173.79,173.79,50869682,50869682,-2.27,-1.29,175.3975,"June 10, 24",-0.0129
17,2024-06-07,176.13,179.35,175.58,177.48,177.48,56244932,56244932,1.35,0.76648,177.135,"June 07, 24",0.0076648
18,2024-06-06,174.6,179.73,172.73,177.94,177.94,69887024,69887024,3.34,1.91,176.25,"June 06, 24",0.0191
19,2024-06-05,175.35,176.15,172.13,175.0,175.0,57953756,57953756,-0.35,-0.1996,174.6575,"June 05, 24",-0.001996
20,2024-06-04,174.78,177.76,174.0,174.77,174.77,60056340,60056340,-0.005,-0.00572148,175.3275,"June 04, 24",-5.72148e-05
21,2024-06-03,178.13,182.64,174.49,176.29,176.29,68568920,68568920,-1.84,-1.03,177.8875,"June 03, 24",-0.0103
22,2024-05-31,178.5,180.32,173.82,178.08,178.08,67314602,67314602,-0.42,-0.23529,177.68,"May 31, 24",-0.0023529
